tag,alpha,source_layer,destination_layer,accuracy,delta_vs_base,rescued_vs_base,regressed_vs_base,cross_accuracy,delta_vs_cross,mcnemar_p_vs_base,n
2p_a010_s18_d7,0.1,18,7,0.31,0.06,12,6,0.38,-0.07,0.2386,100
2p_a004_s20_d9,0.04,20,9,0.35,0.1,17,7,0.36,-0.01,0.0662,100
2p_a015_s20_d9,0.15,20,9,0.37,0.12,21,9,0.35,0.02,0.0446,100
2p_a015_s18_d9,0.15,18,9,0.33,0.08,15,7,0.29,0.04,0.1356,100
